 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
1009014,566,+ACI-1740,92797592756+ACI-
69598,39,+ACI-1742,73838141026+ACI-
69598,39,+ACI-1742,73838141026+ACI-
9945088,5556,+ACI-1748,02015838733+ACI-
4846713,2704,+ACI-1750,41352221246+ACI-
848806,473,+ACI-1752,45689085624+ACI-
1084673,604,+ACI-1753,72678238825+ACI-
463639,258,+ACI-1754,9320191376+ACI-
321740,179,+ACI-1755,30289804469+ACI-
8297488,4611,+ACI-1757,32284211668+ACI-
7953382,4413,+ACI-1760,02143878881+ACI-
5178593,2871,+ACI-1761,48370831156+ACI-
5178593,2871,+ACI-1761,48370831156+ACI-
573824,318,+ACI-1762,1855345912+ACI-
8012705,4430,+ACI-1766,34474640237+ACI-
7700653,4255,+ACI-1767,37225506757+ACI-
848806,468,+ACI-1771,17972088675+ACI-
81702,45,+ACI-1773,046875+ACI-
6897963,3795,+ACI-1775,04400321146+ACI-
1009014,554,+ACI-1778,63760717509+ACI-
5178593,2838,+ACI-1781,96607701286+ACI-
2459010,1347,+ACI-1782,75943067929+ACI-
8297488,4541,+ACI-1784,41216141819+ACI-
8297488,4537,+ACI-1785,98537028874+ACI-
8297488,4536,+ACI-1786,37910604056+ACI-
7700653,4209,+ACI-1786,6877988388+ACI-
2232746,1219,+ACI-1788,69238361362+ACI-
8012705,4374,+ACI-1788,95912815786+ACI-
463639,253,+ACI-1789,6144701087+ACI-
7953382,4335,+ACI-1791,68964460784+ACI-
60606,33,+ACI-1793,50142045455+ACI-
9945088,5406,+ACI-1796,52238253792+ACI-
463639,252,+ACI-1796,71611483135+ACI-
405687,220,+ACI-1800,81232244318+ACI-
848806,460,+ACI-1801,98284646739+ACI-
8297488,4493,+ACI-1803,47554529268+ACI-
603517,326,+ACI-1807,88978623466+ACI-
463639,250,+ACI-1811,08984375+ACI-
9945088,5350,+ACI-1815,32710280374+ACI-
405687,218,+ACI-1817,33353641055+ACI-
8012705,4303,+ACI-1818,47716164594+ACI-
7953382,4269,+ACI-1819,38969533263+ACI-
573824,308,+ACI-1819,39935064935+ACI-
478886,257,+ACI-1819,69692363813+ACI-
7953382,4268,+ACI-1819,81598157802+ACI-
5963776,3200,1820
2232746,1197,+ACI-1821,56726451546+ACI-
5963776,3195,+ACI-1822,84820031299+ACI-
1084673,581,+ACI-1823,15142265491+ACI-
4905254,2625,+ACI-1824,8712797619+ACI-
7953382,4254,+ACI-1825,80503276328+ACI-
6897963,3688,+ACI-1826,54338182958+ACI-
7953382,4250,+ACI-1827,5234375+ACI-
2459010,1314,+ACI-1827,5319277968+ACI-
9945088,5309,+ACI-1829,34639291769+ACI-
1084673,579,+ACI-1829,44900960708+ACI-
6947882,3706,+ACI-1830,82596212223+ACI-
4905254,2613,+ACI-1833,25185969193+ACI-
8297488,4420,+ACI-1833,26145361991+ACI-
8012705,4268,+ACI-1833,38969694529+ACI-
405687,216,+ACI-1834,16069878472+ACI-
405687,216,+ACI-1834,16069878472+ACI-
8297488,4416,+ACI-1834,9220165308+ACI-
9945088,5289,+ACI-1836,26394403479+ACI-
573824,305,+ACI-1837,29508196721+ACI-
7700653,4093,+ACI-1837,32444302773+ACI-
848806,451,+ACI-1837,94259284922+ACI-
1009014,536,+ACI-1838,36797458022+ACI-
8297488,4405,+ACI-1839,50411464245+ACI-
2459010,1305,+ACI-1840,13559626437+ACI-
463639,246,+ACI-1840,53845909553+ACI-
463639,246,+ACI-1840,53845909553+ACI-
8012705,4249,+ACI-1841,58795635738+ACI-
6897963,3655,+ACI-1843,03474478454+ACI-
62303,33,+ACI-1843,72040719697+ACI-
7953382,4212,+ACI-1844,01106585351+ACI-
8297488,4394,+ACI-1844,1091545289+ACI-
8012705,4242,+ACI-1844,62688037777+ACI-
5178593,2738,+ACI-1847,04884096512+ACI-
7700653,4066,+ACI-1849,52507262973+ACI-
60606,32,+ACI-1849,54833984375+ACI-
7700653,4064,+ACI-1850,4352719765+ACI-
1084673,572,+ACI-1851,83737161276+ACI-
6947882,3663,+ACI-1852,31804958367+ACI-
2232746,1177,+ACI-1852,51997929057+ACI-
4905254,2585,+ACI-1853,1091332205+ACI-
7700653,4054,+ACI-1854,99973984028+ACI-
81702,43,+ACI-1855,51417151163+ACI-
4905254,2580,+ACI-1856,70042999031+ACI-
5963776,3134,+ACI-1858,32801531589+ACI-
2232746,1173,+ACI-1858,83718297101+ACI-
6947882,3648,+ACI-1859,93448893229+ACI-
