TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513797150684;1513797150698;1513797151938;1513797151943;.png;43574;14;5;4.084
1513797151939;1513797151946;1513797153083;1513797153116;.png;60606;7;33;2.606
1513797153244;1513797153251;1513797154386;1513797154425;.png;62303;7;39;2.444
1513797154493;1513797154504;1513797155636;1513797155677;.png;62372;11;41;2.71
1513797155744;1513797155750;1513797156889;1513797156925;.png;69598;6;36;2.248
1513797157042;1513797157059;1513797158182;1513797158226;.png;78311;17;44;2.6799999999999997
1513797158279;1513797158284;1513797159422;1513797159468;.png;81702;5;46;2.0300000000000002
1513797159529;1513797159537;1513797160678;1513797160718;.png;86564;8;40;2.714
1513797160795;1513797160805;1513797161942;1513797162038;.pdf;107050;10;96;4.460000000000001
1513797162026;1513797162045;1513797163169;1513797163243;.png;124105;19;74;1.886
1513797163267;1513797163396;1513797164409;1513797164577;.pdf;321740;129;168;1.986
1513797164711;1513797164893;1513797165853;1513797166071;.pdf;405687;182;218;2.8739999999999997
1513797166134;1513797166358;1513797167277;1513797167523;.pdf;463639;224;246;2.802
1513797167596;1513797167854;1513797168736;1513797169014;.mp4;478886;258;278;2.902
1513797169097;1513797169355;1513797170237;1513797170542;.pdf;573824;258;305;2.134
1513797170623;1513797170928;1513797171762;1513797172101;.mp4;603517;305;339;2.57
1513797172166;1513797172686;1513797173307;1513797173859;.png;848806;520;552;2.6919999999999997
1513797173928;1513797174490;1513797175079;1513797175645;.pdf;1009014;562;566;3.13
1513797175759;1513797176337;1513797176902;1513797177528;.pdf;1084673;578;626;3.5200000000000005
1513797177613;1513797178770;1513797178760;1513797179937;.mp4;2232746;1157;1177;3.2159999999999997
1513797180031;1513797181569;1513797181169;1513797182735;.pdf;2459010;1538;1566;2.5799999999999996
1513797182890;1513797185375;1513797184925;1513797186541;.mp3;3363260;2485;1616;2.6
1513797186667;1513797188401;1513797187811;1513797189581;.pdf;3409257;1734;1770;3.1260000000000003
1513797189646;1513797192146;1513797190788;1513797193332;.mp3;4846713;2500;2544;2.6399999999999997
1513797193386;1513797195939;1513797194528;1513797197153;.mp3;4905254;2553;2625;2.4959999999999996
1513797197206;1513797199954;1513797198348;1513797201186;.mp3;5178593;2748;2838;1.8519999999999999
1513797201234;1513797204213;1513797202376;1513797205448;.mp3;5963776;2979;3072;2.5460000000000003
1513797205464;1513797209138;1513797206611;1513797210406;.mp3;6897963;3674;3795;3.086
1513797210393;1513797214238;1513797211532;1513797215465;.pdf;6947882;3845;3933;2.4159999999999995
1513797215474;1513797220103;1513797216923;1513797221376;.mp3;7522076;4629;4453;2.534
1513797221356;1513797225450;1513797222496;1513797226751;.mp3;7700653;4094;4255;2.34
1513797226763;1513797230917;1513797227905;1513797232155;.mp4;7953382;4154;4250;2.458
1513797232171;1513797236270;1513797233312;1513797237561;.mp3;8012705;4099;4249;2.534
1513797237519;1513797241984;1513797238662;1513797243199;.mp4;8297488;4465;4537;2.718
1513797243252;1513797248345;1513797244398;1513797249598;.mp3;9945088;5093;5200;2.84
1513797249819;1513797361156;1513797251923;1513797362572;.iso;238026752;111337;110649;46.762
1513797362430;1513797674685;1513797363925;1513797676307;.iso;647823360;312255;312382;2.5620000000000003
