TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513798384291;1513798384312;1513798386008;1513798386013;.png;43574;21;5;2.108
1513798385579;1513798385586;1513798386734;1513798386778;.png;60606;7;44;2.478
1513798386800;1513798386858;1513798387952;1513798388053;.png;62303;58;101;2.5620000000000003
1513798388148;1513798388152;1513798389300;1513798389367;.png;62372;4;67;2.568
1513798389454;1513798389459;1513798390609;1513798390638;.png;69598;5;29;2.5660000000000003
1513798390715;1513798390721;1513798391867;1513798391930;.png;78311;6;63;2.784
1513798391978;1513798392004;1513798393129;1513798393185;.png;81702;26;56;2.018
1513798393281;1513798393287;1513798394434;1513798394485;.png;86564;6;51;3.2520000000000002
1513798394525;1513798394530;1513798395681;1513798395743;.pdf;107050;5;62;2.0
1513798395757;1513798395762;1513798396909;1513798396985;.png;124105;5;76;2.906
1513798397003;1513798397139;1513798398154;1513798398339;.pdf;321740;136;185;2.092
1513798398378;1513798398574;1513798399531;1513798399743;.pdf;405687;196;212;2.09
1513798399811;1513798400013;1513798400963;1513798401209;.pdf;463639;202;246;3.0360000000000005
1513798401335;1513798401603;1513798402488;1513798402780;.mp4;478886;268;292;4.746
1513798402833;1513798403150;1513798403989;1513798404333;.pdf;573824;317;344;2.822
1513798404399;1513798404741;1513798405553;1513798405922;.mp4;603517;342;369;2.482
1513798405979;1513798406381;1513798407130;1513798407573;.png;848806;402;443;2.0
1513798407655;1513798408149;1513798408806;1513798409327;.pdf;1009014;494;521;2.666
1513798409434;1513798409989;1513798410586;1513798411144;.pdf;1084673;555;558;2.26
1513798411290;1513798412406;1513798412442;1513798413600;.mp4;2232746;1116;1158;2.174
1513798413692;1513798414920;1513798414843;1513798416132;.pdf;2459010;1228;1289;1.9479999999999997
1513798416158;1513798418397;1513798417932;1513798419602;.mp3;3363260;2239;1670;2.7980000000000005
1513798419675;1513798421376;1513798420828;1513798422616;.pdf;3409257;1701;1788;2.17
1513798422622;1513798425081;1513798423777;1513798426316;.mp3;4846713;2459;2539;1.884
1513798426337;1513798428870;1513798427488;1513798430073;.mp3;4905254;2533;2585;2.52
1513798430157;1513798432985;1513798431308;1513798434179;.mp3;5178593;2828;2871;2.1119999999999997
1513798434229;1513798437324;1513798435381;1513798438515;.mp3;5963776;3095;3134;3.018
1513798438567;1513798442068;1513798439720;1513798443312;.mp3;6897963;3501;3592;2.534
1513798443375;1513798446916;1513798444525;1513798448147;.pdf;6947882;3541;3622;2.082
1513798448181;1513798452486;1513798449932;1513798453782;.mp3;7522076;4305;3850;2.4539999999999997
1513798453795;1513798457663;1513798454948;1513798458968;.mp3;7700653;3868;4020;2.718
1513798458914;1513798463315;1513798460067;1513798464538;.mp4;7953382;4401;4471;2.808
1513798464581;1513798468914;1513798465731;1513798470161;.mp3;8012705;4333;4430;4.656
1513798470470;1513798475031;1513798471622;1513798476233;.mp4;8297488;4561;4611;58.238
1513798476290;1513798481668;1513798477448;1513798483004;.mp3;9945088;5378;5556;2.6999999999999997
1513798482931;1513798594295;1513798484934;1513798595886;.iso;238026752;111364;110952;2.662
1513798595590;1513798891418;1513798596935;1513798892623;.iso;647823360;295828;295688;2.5279999999999996
