TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513796473821;1513796473843;1513796475935;1513796475939;.png;43574;22;4;4.378
1513796475075;1513796475078;1513796476220;1513796476252;.png;60606;3;32;2.154
1513796476297;1513796476301;1513796477435;1513796477468;.png;62303;4;33;2.11
1513796477541;1513796477547;1513796478680;1513796478711;.png;62372;6;31;3.558
1513796478774;1513796478779;1513796479911;1513796479950;.png;69598;5;39;3.2060000000000004
1513796480038;1513796480073;1513796481173;1513796481240;.png;78311;35;67;2.1119999999999997
1513796481300;1513796481305;1513796482435;1513796482480;.png;81702;5;45;2.8839999999999995
1513796482549;1513796482555;1513796483692;1513796483733;.png;86564;6;41;2.6020000000000003
1513796483793;1513796483812;1513796484928;1513796484994;.pdf;107050;19;66;1.9620000000000002
1513796485075;1513796485100;1513796486211;1513796486287;.png;124105;25;76;3.3480000000000003
1513796486331;1513796486496;1513796487468;1513796487690;.pdf;321740;165;222;2.368
1513796487792;1513796488033;1513796488928;1513796489206;.pdf;405687;241;278;2.006
1513796489266;1513796489557;1513796490401;1513796490717;.pdf;463639;291;316;2.528
1513796490805;1513796491058;1513796491946;1513796492220;.mp4;478886;253;274;3.4879999999999995
1513796492304;1513796492551;1513796493439;1513796493731;.pdf;573824;247;292;2.508
1513796493839;1513796494203;1513796494975;1513796495373;.mp4;603517;364;398;1.966
1513796495451;1513796495886;1513796496594;1513796497045;.png;848806;435;451;3.5520000000000005
1513796497140;1513796497684;1513796498275;1513796498842;.pdf;1009014;544;567;3.6419999999999995
1513796498945;1513796499498;1513796500079;1513796500660;.pdf;1084673;553;581;2.036
1513796500741;1513796501836;1513796501876;1513796503014;.mp4;2232746;1095;1138;2.95
1513796503076;1513796504318;1513796504210;1513796505481;.pdf;2459010;1242;1271;2.098
1513796505589;1513796507877;1513796506917;1513796509042;.mp3;3363260;2288;2125;2.158
1513796509120;1513796510792;1513796510255;1513796512006;.pdf;3409257;1672;1751;3.8259999999999996
1513796512077;1513796514529;1513796513216;1513796515699;.mp3;4846713;2452;2483;2.07
1513796515850;1513796518300;1513796516988;1513796519544;.mp3;4905254;2450;2556;3.25
1513796519631;1513796522245;1513796520764;1513796523401;.mp3;5178593;2614;2637;2.7380000000000004
1513796523513;1513796526442;1513796524653;1513796527717;.mp3;5963776;2929;3064;5.76
1513796527761;1513796531241;1513796528898;1513796532514;.mp3;6897963;3480;3616;2.498
1513796532501;1513796536128;1513796533636;1513796537299;.pdf;6947882;3627;3663;2.79
1513796537380;1513796541552;1513796538918;1513796542761;.mp3;7522076;4172;3843;2.7980000000000005
1513796542804;1513796546773;1513796543940;1513796548006;.mp3;7700653;3969;4066;2.438
1513796548051;1513796552064;1513796549187;1513796553359;.mp4;7953382;4013;4172;2.022
1513796553316;1513796557406;1513796554452;1513796558720;.mp3;8012705;4090;4268;2.082
1513796558670;1513796562948;1513796559804;1513796564209;.mp4;8297488;4278;4405;2.5460000000000003
1513796564235;1513796569392;1513796565381;1513796570670;.mp3;9945088;5157;5289;3.5759999999999996
1513796570656;1513796683168;1513796571918;1513796684453;.iso;238026752;112512;112535;2.0460000000000003
1513796684427;1513796983222;1513796685918;1513796984623;.iso;647823360;298795;298705;2.7199999999999998
