TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513800990042;1513800990054;1513800991968;1513800991972;.png;43574;12;4;4.07
1513800991300;1513800991305;1513800992475;1513800992513;.png;60606;5;38;2.7079999999999997
1513800992556;1513800992561;1513800993729;1513800993764;.png;62303;5;35;2.1799999999999997
1513800993802;1513800993805;1513800994983;1513800995010;.png;62372;3;27;2.134
1513800995028;1513800995032;1513800996201;1513800996274;.png;69598;4;73;2.9859999999999998
1513800996282;1513800996290;1513800997458;1513800997507;.png;78311;8;49;2.836
1513800997513;1513800997522;1513800998687;1513800998733;.png;81702;9;46;2.0439999999999996
1513800998748;1513800998755;1513800999921;1513800999980;.png;86564;7;59;2.4
1513801000016;1513801000023;1513801001187;1513801001257;.pdf;107050;7;70;3.196
1513801001240;1513801001250;1513801002416;1513801002527;.png;124105;10;111;2.078
1513801002488;1513801002626;1513801003660;1513801003881;.pdf;321740;138;221;2.028
1513801003886;1513801004067;1513801005072;1513801005292;.pdf;405687;181;220;2.412
1513801005311;1513801005521;1513801006488;1513801006740;.pdf;463639;210;252;2.6919999999999997
1513801006755;1513801006960;1513801007932;1513801008189;.mp4;478886;205;257;2.9379999999999997
1513801008224;1513801008522;1513801009397;1513801009715;.pdf;573824;298;318;1.8920000000000001
1513801009768;1513801010065;1513801010939;1513801011265;.mp4;603517;297;326;4.716
1513801011304;1513801011770;1513801012485;1513801012953;.png;848806;466;468;1.8539999999999999
1513801013002;1513801013557;1513801014184;1513801014738;.pdf;1009014;555;554;2.172
1513801014796;1513801015383;1513801015970;1513801016574;.pdf;1084673;587;604;2.008
1513801016641;1513801017757;1513801017814;1513801018939;.mp4;2232746;1116;1125;2.444
1513801018999;1513801020289;1513801020173;1513801021520;.pdf;2459010;1290;1347;2.226
1513801021556;1513801023423;1513801022958;1513801024653;.mp3;3363260;1867;1695;2.268
1513801024662;1513801026333;1513801025838;1513801027579;.pdf;3409257;1671;1741;2.706
1513801027581;1513801030251;1513801028755;1513801031514;.mp3;4846713;2670;2759;2.3360000000000003
1513801033025;1513801035877;1513801034201;1513801037086;.mp3;4905254;2852;2885;290.24
1513801037180;1513801039733;1513801038355;1513801041011;.mp3;5178593;2553;2656;5.656000000000001
1513801040979;1513801044040;1513801042154;1513801045349;.mp3;5963776;3061;3195;2.466
1513801045297;1513801048844;1513801046472;1513801050127;.mp3;6897963;3547;3655;2.668
1513801050151;1513801053665;1513801051323;1513801054905;.pdf;6947882;3514;3582;2.74
1513801054915;1513801059468;1513801056951;1513801060822;.mp3;7522076;4553;3871;2.488
1513801060727;1513801064599;1513801061901;1513801065955;.mp3;7700653;3872;4054;2.37
1513801065864;1513801070071;1513801067040;1513801071308;.mp4;7953382;4207;4268;3.2520000000000002
1513801071325;1513801075508;1513801072499;1513801076802;.mp3;8012705;4183;4303;2.37
1513801076767;1513801081282;1513801077947;1513801082488;.mp4;8297488;4515;4541;2.406
1513801082568;1513801087926;1513801083751;1513801089157;.mp3;9945088;5358;5406;2.0200000000000005
1513801089180;1513801202273;1513801090955;1513801203728;.iso;238026752;113093;112773;2.688
1513801203499;1513801494106;1513801204956;1513801495441;.iso;647823360;290607;290485;2.964
