TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513802346724;1513802346777;1513802347988;1513802348002;.png;43574;53;14;88.41
1513802347986;1513802347992;1513802349172;1513802349228;.png;60606;6;56;2.718
1513802350354;1513802350358;1513802351537;1513802351586;.png;62303;4;49;5.148
1513802351592;1513802351600;1513802352779;1513802352846;.png;62372;8;67;2.368
1513802352850;1513802352858;1513802354033;1513802354095;.png;69598;8;62;2.732
1513802354113;1513802354119;1513802355299;1513802355347;.png;78311;6;48;2.1399999999999997
1513802355399;1513802355404;1513802356585;1513802356628;.png;81702;5;43;3.2019999999999995
1513802356638;1513802356646;1513802357823;1513802357923;.png;86564;8;100;2.964
1513802357888;1513802357899;1513802359077;1513802359166;.pdf;107050;11;89;2.2979999999999996
1513802359189;1513802359199;1513802360376;1513802360465;.png;124105;10;89;2.784
1513802360432;1513802360573;1513802361617;1513802361799;.pdf;321740;141;182;2.504
1513802361905;1513802362090;1513802363094;1513802363310;.pdf;405687;185;216;2.082
1513802363347;1513802363557;1513802364535;1513802364788;.pdf;463639;210;253;2.132
1513802364843;1513802365080;1513802366030;1513802366280;.mp4;478886;237;250;2.5699999999999994
1513802366341;1513802366603;1513802367526;1513802367834;.pdf;573824;262;308;3.6380000000000003
1513802367857;1513802368465;1513802369046;1513802369798;.mp4;603517;608;752;2.82
1513802369760;1513802370196;1513802370946;1513802371406;.png;848806;436;460;2.162
1513802371446;1513802371965;1513802372631;1513802373167;.pdf;1009014;519;536;2.272
1513802373239;1513802373799;1513802374424;1513802374988;.pdf;1084673;560;564;2.054
1513802375123;1513802376273;1513802376309;1513802377482;.mp4;2232746;1150;1173;2.06
1513802377521;1513802378993;1513802378963;1513802380191;.pdf;2459010;1472;1228;1.9739999999999998
1513802380270;1513802381944;1513802381455;1513802383202;.mp3;3363260;1674;1747;3.6599999999999993
1513802383237;1513802384893;1513802384420;1513802386156;.pdf;3409257;1656;1736;4.756
1513802386148;1513802388599;1513802387335;1513802389855;.mp3;4846713;2451;2520;2.528
1513802389856;1513802392307;1513802391041;1513802393552;.mp3;4905254;2451;2511;2.68
1513802393563;1513802396184;1513802394758;1513802397496;.mp3;5178593;2621;2738;5.241999999999999
1513802397476;1513802400449;1513802398663;1513802401754;.mp3;5963776;2973;3091;3.0300000000000002
1513802401728;1513802405176;1513802402914;1513802406504;.mp3;6897963;3448;3590;2.332
1513802406434;1513802410039;1513802407625;1513802411235;.pdf;6947882;3605;3610;2.8920000000000003
1513802411357;1513802415384;1513802412961;1513802416741;.mp3;7522076;4027;3780;2.21
1513802416639;1513802420733;1513802417825;1513802422034;.mp3;7700653;4094;4209;2.604
1513802421989;1513802426180;1513802423175;1513802427444;.mp4;7953382;4191;4269;2.7199999999999998
1513802427453;1513802431743;1513802428642;1513802433016;.mp3;8012705;4290;4374;1.922
1513802433072;1513802437459;1513802434257;1513802438677;.mp4;8297488;4387;4420;4.232
1513802439430;1513802445328;1513802440623;1513802446548;.mp3;9945088;5898;5925;4.013999999999999
1513802446922;1513802556771;1513802448962;1513802558142;.iso;238026752;109849;109180;50.992000000000004
1513802558065;1513802866764;1513802559964;1513802868203;.iso;647823360;308699;308239;2.136
