TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513797743273;1513797743280;1513797744940;1513797744945;.png;43574;7;5;4.988
1513797744495;1513797744502;1513797745641;1513797745677;.png;60606;7;36;2.9220000000000006
1513797748755;1513797748762;1513797749900;1513797749938;.png;62303;7;38;2.7359999999999998
1513797749985;1513797749989;1513797751131;1513797751195;.png;62372;4;64;2.0679999999999996
1513797751255;1513797751260;1513797752402;1513797752438;.png;69598;5;36;2.22
1513797752501;1513797752506;1513797753648;1513797753697;.png;78311;5;49;2.3659999999999997
1513797753725;1513797753730;1513797754870;1513797754922;.png;81702;5;52;1.984
1513797754963;1513797754968;1513797756108;1513797756167;.png;86564;5;59;3.032
1513797756201;1513797756207;1513797757354;1513797757415;.pdf;107050;6;61;3.2119999999999997
1513797757470;1513797757476;1513797758633;1513797758692;.png;124105;6;59;2.648
1513797758728;1513797758896;1513797759874;1513797760100;.pdf;321740;168;226;2.834
1513797760157;1513797760327;1513797761305;1513797761569;.pdf;405687;170;264;2.75
1513797761603;1513797761801;1513797762747;1513797762997;.pdf;463639;198;250;2.0420000000000003
1513797763078;1513797763364;1513797764230;1513797764564;.mp4;478886;286;334;4.5600000000000005
1513797764661;1513797765006;1513797765827;1513797766184;.pdf;573824;345;357;9.908000000000001
1513797766256;1513797766618;1513797767403;1513797767783;.mp4;603517;362;380;2.5359999999999996
1513797767918;1513797768369;1513797769073;1513797769593;.png;848806;451;520;3.196
1513797769649;1513797770623;1513797770797;1513797771794;.pdf;1009014;974;997;3.064
1513797771887;1513797772702;1513797773034;1513797773900;.pdf;1084673;815;866;4.496
1513797773966;1513797775882;1513797775930;1513797777048;.mp4;2232746;1916;1118;5.447999999999999
1513797777159;1513797778406;1513797778305;1513797779610;.pdf;2459010;1247;1305;2.87
1513797779735;1513797781665;1513797780880;1513797783119;.mp3;3363260;1930;2239;9.634
1513797782925;1513797784792;1513797784075;1513797786000;.pdf;3409257;1867;1925;3.7
1513797786044;1513797788471;1513797787194;1513797789626;.mp3;4846713;2427;2432;3.2560000000000002
1513797789736;1513797792198;1513797790888;1513797793401;.mp3;4905254;2462;2513;1.9440000000000002
1513797793479;1513797796070;1513797794624;1513797797276;.mp3;5178593;2591;2652;2.612
1513797797391;1513797800252;1513797798539;1513797801510;.mp3;5963776;2861;2971;2.136
1513797801563;1513797804895;1513797802711;1513797806122;.mp3;6897963;3332;3411;2.992
1513797806165;1513797809976;1513797807928;1513797811285;.pdf;6947882;3811;3357;2.8240000000000003
1513797811310;1513797815042;1513797812462;1513797816283;.mp3;7522076;3732;3821;2.26
1513797816323;1513797820195;1513797817475;1513797821514;.mp3;7700653;3872;4039;2.9
1513797821514;1513797825762;1513797822663;1513797826998;.mp4;7953382;4248;4335;2.6079999999999997
1513797827019;1513797831443;1513797828163;1513797832741;.mp3;8012705;4424;4578;2.46
1513797832699;1513797837342;1513797833844;1513797838618;.mp4;8297488;4643;4774;2.9279999999999995
1513797838629;1513797844195;1513797839943;1513797845541;.mp3;9945088;5566;5598;2.52
1513797845504;1513797957906;1513797846650;1513797959575;.iso;238026752;112402;112925;2.332
1513797959177;1513798247331;1513797960928;1513798248645;.iso;647823360;288154;287717;2.8339999999999996
