Tipo, Tempo0cm(ms), Tempo1m(ms), Tempo3m(ms), Tempo5m(ms), Tempo10m(ms), Tempo15m(ms)
Client,368,385,392,411,433,481
Client,395,398,397,418,435,511
Client,403,404,397,418,457,535
Client,404,432,398,474,459,567
Client,411,447,429,478,466,600
Client,412,452,429,490,467,669
Client,441,482,430,493,505,678
Client,446,489,449,708,510,695
Client,447,519,495,727,517,1033
Client,717,718,654,1528,519,1034
