Tipo, Tempo0cm(ms), Tempo1m(ms), Tempo3m(ms), Tempo5m(ms), Tempo10m(ms), Tempo15m(ms)
Client,1060,1196,1281,1356,1616,1649
Client,1060,1218,1291,1558,1658,1989
Client,1100,1235,1338,1612,1817,2116
Client,1137,1247,1353,1742,2175,2480
Client,1151,1320,1372,1768,2201,2596
Client,1219,1358,1382,1836,2306,2977
Client,1231,1384,1405,2370,2316,2981
Client,1244,1460,1417,2534,2646,3116
Client,1249,1495,1436,2568,5198,3345
Client,1584,1514,1478,3807,6540,3835
