Tipo; Extensao; Tamanho(bytes); TempoClient(ms); TempoServer(ms)
SERVER_LOCAL;.pdf;3409257;2328;2151
SERVER_LOCAL;.mp3;4846713;3295;3117
SERVER_LOCAL;.mp3;4905254;3371;3219
SERVER_LOCAL;.mp3;5178593;3565;3434
SERVER_LOCAL;.mp3;5963776;4152;4023
SERVER_LOCAL;.mp3;6897963;4792;4611
SERVER_LOCAL;.pdf;6947882;5832;4530
SERVER_LOCAL;.mp3;7522076;5344;5129
SERVER_LOCAL;.mp3;7700653;5706;5530
SERVER_LOCAL;.mp4;7953382;5558;5343
SERVER_LOCAL;.mp3;8012705;5455;5231
SERVER_LOCAL;.mp4;8297488;7473;6513
SERVER_LOCAL;.mp3;9945088;6945;6683
SERVER_LOCAL;.iso;238026752;162835;160888
SERVER_LOCAL;.iso;647823360;440424;438549
SERVER_LOCAL;.png;43574;82;12
SERVER_LOCAL;.png;60606;53;0
SERVER_LOCAL;.png;62303;83;1
SERVER_LOCAL;.png;62372;65;1
SERVER_LOCAL;.png;69598;73;0
SERVER_LOCAL;.png;78311;76;1
SERVER_LOCAL;.png;81702;80;1
SERVER_LOCAL;.png;86564;72;0
SERVER_LOCAL;.pdf;107050;132;35
SERVER_LOCAL;.png;124105;105;14
SERVER_LOCAL;.pdf;321740;237;108
SERVER_LOCAL;.pdf;405687;361;216
SERVER_LOCAL;.pdf;463639;342;215
SERVER_LOCAL;.mp4;478886;442;196
SERVER_LOCAL;.pdf;573824;413;297
SERVER_LOCAL;.mp4;603517;494;339
SERVER_LOCAL;.png;848806;616;497
SERVER_LOCAL;.pdf;1009014;723;617
SERVER_LOCAL;.pdf;1084673;814;710
SERVER_LOCAL;.mp4;2232746;1580;1455
SERVER_LOCAL;.pdf;2459010;1704;1565
SERVER_LOCAL;.mp3;3363260;3309;2201
SERVER_LOCAL;.pdf;3409257;2418;2248
SERVER_LOCAL;.mp3;4846713;3400;3258
SERVER_LOCAL;.mp3;4905254;3457;3331
SERVER_LOCAL;.mp3;5178593;3662;3475
SERVER_LOCAL;.mp3;5963776;4112;3932
SERVER_LOCAL;.mp3;6897963;4718;4548
SERVER_LOCAL;.pdf;6947882;5515;4689
SERVER_LOCAL;.mp3;7522076;5290;5034
SERVER_LOCAL;.mp3;7700653;5556;5384
SERVER_LOCAL;.mp4;7953382;5802;5309
SERVER_LOCAL;.mp3;8012705;6112;5886
SERVER_LOCAL;.mp4;8297488;6304;5753
SERVER_LOCAL;.mp3;9945088;6825;6529
SERVER_LOCAL;.iso;238026752;162688;160349
SERVER_LOCAL;.iso;647823360;440571;438623
SERVER_LOCAL;.png;43574;61;12
SERVER_LOCAL;.png;60606;55;0
SERVER_LOCAL;.png;62303;61;0
SERVER_LOCAL;.png;62372;56;0
SERVER_LOCAL;.png;69598;56;0
SERVER_LOCAL;.png;78311;76;0
SERVER_LOCAL;.png;81702;70;0
SERVER_LOCAL;.png;86564;78;0
SERVER_LOCAL;.pdf;107050;102;14
SERVER_LOCAL;.png;124105;107;11
SERVER_LOCAL;.pdf;321740;231;142
SERVER_LOCAL;.pdf;405687;316;219
SERVER_LOCAL;.pdf;463639;342;237
SERVER_LOCAL;.mp4;478886;349;240
SERVER_LOCAL;.pdf;573824;476;359
SERVER_LOCAL;.mp4;603517;441;281
SERVER_LOCAL;.png;848806;589;430
SERVER_LOCAL;.pdf;1009014;805;580
SERVER_LOCAL;.pdf;1084673;851;738
SERVER_LOCAL;.mp4;2232746;1591;1449
SERVER_LOCAL;.pdf;2459010;1800;1615
SERVER_LOCAL;.mp3;3363260;2377;2160
SERVER_LOCAL;.pdf;3409257;2776;2642
SERVER_LOCAL;.mp3;4846713;3348;3153
SERVER_LOCAL;.mp3;4905254;3459;3310
SERVER_LOCAL;.mp3;5178593;3742;3512
SERVER_LOCAL;.mp3;5963776;4125;3877
SERVER_LOCAL;.mp3;6897963;4868;4659
SERVER_LOCAL;.pdf;6947882;5115;4535
SERVER_LOCAL;.mp3;7522076;5314;5111
SERVER_LOCAL;.mp3;7700653;5408;5114
SERVER_LOCAL;.mp4;7953382;5521;5239
SERVER_LOCAL;.mp3;8012705;5561;5262
SERVER_LOCAL;.mp4;8297488;6240;6011
SERVER_LOCAL;.mp3;9945088;6841;6600
SERVER_LOCAL;.iso;238026752;160501;158665
SERVER_LOCAL;.iso;647823360;436945;435042
SERVER_LOCAL;.png;43574;53;11
SERVER_LOCAL;.png;60606;48;1
SERVER_LOCAL;.png;62303;81;0
SERVER_LOCAL;.png;62372;56;0
SERVER_LOCAL;.png;69598;61;1
SERVER_LOCAL;.png;78311;90;0
SERVER_LOCAL;.png;81702;67;0
SERVER_LOCAL;.png;86564;107;0
SERVER_LOCAL;.pdf;107050;109;10
SERVER_LOCAL;.png;124105;96;11
SERVER_LOCAL;.pdf;321740;276;146
SERVER_LOCAL;.pdf;405687;319;220
SERVER_LOCAL;.pdf;463639;334;217
SERVER_LOCAL;.mp4;478886;348;229
SERVER_LOCAL;.pdf;573824;407;323
SERVER_LOCAL;.mp4;603517;413;314
SERVER_LOCAL;.png;848806;694;582
SERVER_LOCAL;.pdf;1009014;775;600
