TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513862099038;1513862099092;1513862101704;1513862101714;.png;43574;54;10
1513862100115;1513862100190;1513862102791;1513862102791;.png;60606;75;0
1513862101212;1513862101281;1513862103888;1513862103889;.png;62303;69;1
1513862102302;1513862102368;1513862104978;1513862104978;.png;62372;66;0
1513862103391;1513862103473;1513862106063;1513862106063;.png;69598;82;0
1513862104498;1513862104573;1513862107165;1513862107165;.png;78311;75;0
1513862105592;1513862105665;1513862108268;1513862108268;.png;81702;73;0
1513862106698;1513862106800;1513862109375;1513862109375;.png;86564;102;0
1513862107820;1513862107919;1513862110497;1513862110508;.pdf;107050;99;11
1513862108951;1513862109052;1513862111614;1513862111629;.png;124105;101;15
1513862110077;1513862110330;1513862112752;1513862112904;.pdf;321740;253;152
1513862111353;1513862111653;1513862114029;1513862114202;.pdf;405687;300;173
1513862112678;1513862113002;1513862115340;1513862115570;.pdf;463639;324;230
1513862114012;1513862114375;1513862116691;1513862116941;.mp4;478886;363;250
1513862115395;1513862115798;1513862118059;1513862118358;.pdf;573824;403;299
1513862116818;1513862117280;1513862119482;1513862119804;.mp4;603517;462;322
1513862118300;1513862118908;1513862120976;1513862121474;.png;848806;608;498
1513862119933;1513862120654;1513862122609;1513862123231;.pdf;1009014;721;622
1513862121678;1513862122421;1513862124341;1513862124984;.pdf;1084673;743;643
1513862123441;1513862125031;1513862126116;1513862127534;.mp4;2232746;1590;1418
1513862126050;1513862127764;1513862128727;1513862130290;.pdf;2459010;1714;1563
1513862128783;1513862131213;1513862131536;1513862133771;.mp3;3363260;2430;2235
1513862132238;1513862134566;1513862134901;1513862137052;.pdf;3409257;2328;2151
1513862135591;1513862138886;1513862138255;1513862141372;.mp3;4846713;3295;3117
1513862139908;1513862143279;1513862142583;1513862145802;.mp3;4905254;3371;3219
1513862144300;1513862147865;1513862146976;1513862150410;.mp3;5178593;3565;3434
1513862148888;1513862153040;1513862151551;1513862155574;.mp3;5963776;4152;4023
1513862154062;1513862158854;1513862156725;1513862161336;.mp3;6897963;4792;4611
1513862159898;1513862165730;1513862163555;1513862168085;.pdf;6947882;5832;4530
1513862166741;1513862172085;1513862169405;1513862174534;.mp3;7522076;5344;5129
1513862173102;1513862178808;1513862175768;1513862181298;.mp3;7700653;5706;5530
1513862179833;1513862185391;1513862182509;1513862187852;.mp4;7953382;5558;5343
1513862186418;1513862191873;1513862189094;1513862194325;.mp3;8012705;5455;5231
1513862194171;1513862201644;1513862197545;1513862204058;.mp4;8297488;7473;6513
1513862202665;1513862209610;1513862205329;1513862212012;.mp3;9945088;6945;6683
1513862210630;1513862373465;1513862213307;1513862374195;.iso;238026752;162835;160888
1513862374483;1513862814907;1513862377539;1513862816088;.iso;647823360;440424;438549
