REQUEST_SEARCH,0,1513823890156,192.168.1.4,XT1069,-,SERVER_EXTERNAL
25.220000000000002
REQUEST_CONNECT,CLIENT,1513823894378,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823894407,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823894424,1513823894432,.png,43574,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823894437,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
34.720000000000006
REQUEST_CONNECT,CLIENT,1513823895814,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823895839,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823895840,1513823895847,.png,60606,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823895851,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
22.380000000000003
REQUEST_CONNECT,CLIENT,1513823897179,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823897202,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823897205,1513823897210,.png,62303,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823897214,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
26.9
REQUEST_CONNECT,CLIENT,1513823898596,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823898620,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823898621,1513823898629,.png,62372,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823898633,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
32.04
REQUEST_CONNECT,CLIENT,1513823900040,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823900066,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823900066,1513823900073,.png,69598,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823900076,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
21.220000000000002
REQUEST_CONNECT,CLIENT,1513823901386,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823901410,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823901412,1513823901416,.png,78311,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823901419,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
22.68
REQUEST_CONNECT,CLIENT,1513823902783,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823902807,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823902808,1513823902812,.png,81702,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823902815,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
36.220000000000006
REQUEST_CONNECT,CLIENT,1513823904252,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823904276,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823904276,1513823904285,.png,86564,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823904291,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
22.839999999999996
REQUEST_CONNECT,CLIENT,1513823905615,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823905639,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823905644,1513823905651,.pdf,107050,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823905655,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
20.86
REQUEST_CONNECT,CLIENT,1513823906969,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823906993,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823906997,1513823907005,.png,124105,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823907010,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
27.560000000000002
REQUEST_CONNECT,CLIENT,1513823908436,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823908461,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823908462,1513823908707,.pdf,321740,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823908712,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
20.5
REQUEST_CONNECT,CLIENT,1513823910077,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823910107,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513823910108,1513823910366,.pdf,405687,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513823910374,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
22.28
REQUEST_CONNECT,CLIENT,1513823911741,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513823911767,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
