SEND,CLIENT,192.168.1.4,XT1069,1513817981354,1513817981703,.pdf,463639,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817981707,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
22.840000000000003,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817983087,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817983111,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817983112,1513817983417,.mp4,478886,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817983421,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
45.6,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817985913,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817985940,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817985944,1513817986349,.pdf,573824,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817986355,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
25.72,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817991754,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817991778,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817991779,1513817992243,.mp4,603517,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817992247,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
21.84,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817994608,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817994632,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817994635,1513817995270,.png,848806,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817995274,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
22.139999999999997,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817996611,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817996665,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817996670,1513817998547,.pdf,1009014,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817998552,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
22.04,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817999899,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817999926,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817999929,1513818001080,.pdf,1084673,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818001084,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
29.979999999999997,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818002488,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818002512,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818002515,1513818013282,.mp4,2232746,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818013286,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
39.3,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818015740,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818015779,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818015783,1513818024037,.pdf,2459010,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818024042,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
117.25999999999999,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818025887,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818025921,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818025926,1513818040027,.mp3,3363260,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818040033,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
30.04,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818041460,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818041485,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818041485,1513818049436,.pdf,3409257,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818049441,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
26.24,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818051821,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818051845,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818051847,1513818061893,.mp3,4846713,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818061897,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
23.919999999999998,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818063272,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818063305,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818063311,1513818068264,.mp3,4905254,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818068272,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
23.359999999999996,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818069673,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818069698,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818069702,1513818076283,.mp3,5178593,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818076286,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
24.240000000000002,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818078661,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818078685,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818078688,1513818082604,.mp3,5963776,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818082610,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
24.92,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818084006,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818084030,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818084035,1513818089033,.mp3,6897963,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818089039,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
23.759999999999998,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818091432,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818091458,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818091463,1513818095594,.pdf,6947882,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818095597,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
49.96,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818098109,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818098139,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818098142,1513818102787,.mp3,7522076,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818102793,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
