CONNECT,GO,1513688915891,44:80:eb:01:5d:e2,XT1069_44c8,DISPONÍVEL,192.168.49.1,-,D2D
END_SEARCH,1,1513688945957,44:80:eb:01:5d:e2,XT1069_44c8,CONECTADO,D2D,,
END_SEARCH,1,1513688946054,44:80:eb:01:5d:e2,XT1069_44c8,CONECTADO,D2D,,
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688953039,1513688953273,.png,43574,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688954250,1513688954289,.png,60606,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688955269,1513688955309,.png,62303,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688956291,1513688956320,.png,62372,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688957310,1513688957349,.png,69598,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688958335,1513688958432,.png,78311,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688959374,1513688959388,.png,81702,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688960378,1513688960403,.png,86564,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688961396,1513688961429,.pdf,107050,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688962421,1513688962453,.png,124105,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688963444,1513688963623,.pdf,321740,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688964603,1513688964785,.pdf,405687,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688965783,1513688965927,.pdf,463639,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688966926,1513688967076,.mp4,478886,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688968072,1513688968231,.pdf,573824,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688969219,1513688969390,.mp4,603517,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688970374,1513688970579,.png,848806,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688971596,1513688971913,.pdf,1009014,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688972904,1513688973227,.pdf,1084673,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688974230,1513688974712,.mp4,2232746,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688975691,1513688976611,.pdf,2459010,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688977665,1513688978936,.mp3,3363260,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688979932,1513688980780,.pdf,3409257,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688981759,1513688982734,.mp3,4846713,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688983718,1513688984626,.mp3,4905254,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688985576,1513688986585,.mp3,5178593,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688987530,1513688988919,.mp3,5963776,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688989919,1513688991787,.mp3,6897963,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688992836,1513688994205,.pdf,6947882,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688995120,1513688996748,.mp3,7522076,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513688997743,1513688999242,.mp3,7700653,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513689000149,1513689001639,.mp4,7953382,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513689002563,1513689004033,.mp3,8012705,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513689004928,1513689006842,.mp4,8297488,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513689007711,1513689010054,.mp3,9945088,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513689010960,1513689059098,.iso,238026752,D2D
RECEIVED,GO,44:80:eb:01:5d:e2,XT1069_44c8,1513689059874,1513689283204,.iso,647823360,D2D
REQUEST_DISCONNECT,GO,1513689950814,44:80:eb:01:5d:e2,XT1069_44c8,CONECTADO,192.168.49.1,-,D2D
DISCONNECT,GO,1513689951315,44:80:eb:01:5d:e2,XT1069_44c8,DISPONÍVEL,192.168.49.1,-,D2D
END_SEARCH,0,1513689951316,44:80:eb:01:5d:e2,XT1069_44c8,DISPONÍVEL,D2D,,
