TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513824598809;1513824598817;1513824621857;1513824621859;.png;43574;8;2;32.260000000000005
1513824600245;1513824600249;1513824623139;1513824623233;.png;60606;4;94;25.04
1513824601677;1513824601683;1513824624568;1513824624631;.png;62303;6;63;35.9
1513824603070;1513824603076;1513824625958;1513824626027;.png;62372;6;69;22.939999999999998
1513824604434;1513824604444;1513824627330;1513824627396;.png;69598;10;66;22.54
1513824605885;1513824605892;1513824628776;1513824628850;.png;78311;7;74;35.260000000000005
1513824607256;1513824607263;1513824630147;1513824630235;.png;81702;7;88;21.7
1513824608649;1513824608656;1513824631538;1513824631646;.png;86564;7;108;20.9
1513824610080;1513824610087;1513824632967;1513824633094;.pdf;107050;7;127;31.3
1513824611440;1513824611448;1513824634328;1513824634454;.png;124105;8;126;21.2
1513824612852;1513824613119;1513824635743;1513824636151;.pdf;321740;267;408;22.44
1513824614507;1513824614801;1513824637398;1513824637742;.pdf;405687;294;344;23.759999999999998
1513824616218;1513824616581;1513824639111;1513824639526;.pdf;463639;363;415;27.559999999999995
1513824617956;1513824618301;1513824640842;1513824641246;.mp4;478886;345;404;21.64
1513824619709;1513824620112;1513824642600;1513824643037;.pdf;573824;403;437;22.2
1513824621726;1513824622107;1513824644612;1513824645030;.mp4;603517;381;418;49.879999999999995
1513824623592;1513824624018;1513824646479;1513824646934;.png;848806;426;455;31.040000000000003
1513824625435;1513824625862;1513824648321;1513824648809;.pdf;1009014;427;488;24.240000000000002
1513824627277;1513824627769;1513824650192;1513824650724;.pdf;1084673;492;532;21.9
1513824629180;1513824630054;1513824652077;1513824653004;.mp4;2232746;874;927;23.24
1513824631468;1513824632383;1513824654354;1513824655354;.pdf;2459010;915;1000;21.439999999999998
1513824633844;1513824635323;1513824656731;1513824658288;.mp3;3363260;1479;1557;31.9
1513824636805;1513824638128;1513824659694;1513824661147;.pdf;3409257;1323;1453;25.880000000000003
1513824639534;1513824641700;1513824662422;1513824664652;.mp3;4846713;2166;2230;24.18
1513824643177;1513824645286;1513824666068;1513824668283;.mp3;4905254;2109;2215;30.24
1513824646729;1513824649089;1513824669618;1513824672215;.mp3;5178593;2360;2597;22.880000000000003
1513824650535;1513824653513;1513824673447;1513824676570;.mp3;5963776;2978;3123;26.619999999999997
1513824655215;1513824658747;1513824678106;1513824681793;.mp3;6897963;3532;3687;77.28
1513824660261;1513824663692;1513824683149;1513824686813;.pdf;6947882;3431;3664;32.239999999999995
1513824665184;1513824669427;1513824688086;1513824692404;.mp3;7522076;4243;4318;28.080000000000002
1513824670896;1513824675513;1513824693795;1513824698537;.mp3;7700653;4617;4742;22.839999999999996
1513824676980;1513824682003;1513824699868;1513824705080;.mp4;7953382;5023;5212;22.740000000000002
1513824683422;1513824687712;1513824706309;1513824710737;.mp3;8012705;4290;4428;23.28
1513824689158;1513824693397;1513824712049;1513824716386;.mp4;8297488;4239;4337;21.139999999999997
1513824695038;1513824700306;1513824717940;1513824723382;.mp3;9945088;5268;5442;51.339999999999996
1513824701727;1513824837234;1513824724615;1513824860309;.iso;238026752;135507;135694;22.3
1513824838702;1513825215397;1513824861619;1513825238400;.iso;647823360;376695;376781;22.3
