TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513821796202;1513821796209;1513821819121;1513821819199;.png;43574;7;78;24.060000000000002
1513821797624;1513821797627;1513821820467;1513821820525;.png;60606;3;58;21.220000000000002
1513821798968;1513821798975;1513821821809;1513821821899;.png;62303;7;90;20.52
1513821800374;1513821800383;1513821823215;1513821823286;.png;62372;9;71;23.28
1513821801827;1513821801836;1513821824674;1513821824736;.png;69598;9;62;39.4
1513821803212;1513821803217;1513821826056;1513821826169;.png;78311;5;113;22.06
1513821804694;1513821804703;1513821827552;1513821827612;.png;81702;9;60;25.060000000000002
1513821806124;1513821806132;1513821828973;1513821829144;.png;86564;8;171;25.2
1513821807530;1513821807537;1513821830376;1513821830544;.pdf;107050;7;168;23.94
1513821808933;1513821808941;1513821831778;1513821831878;.png;124105;8;100;28.619999999999997
1513821810335;1513821810537;1513821833180;1513821833410;.pdf;321740;202;230;21.080000000000002
1513821811955;1513821812191;1513821834795;1513821835054;.pdf;405687;236;259;29.82
1513821813583;1513821813925;1513821836444;1513821836821;.pdf;463639;342;377;23.0
1513821815328;1513821815617;1513821838172;1513821838490;.mp4;478886;289;318;21.580000000000002
1513821817087;1513821817453;1513821839931;1513821840319;.pdf;573824;366;388;34.6
1513821818837;1513821819378;1513821841677;1513821842283;.mp4;603517;541;606;21.440000000000005
1513821820786;1513821821293;1513821843630;1513821844160;.png;848806;507;530;21.639999999999997
1513821822694;1513821823221;1513821845542;1513821846091;.pdf;1009014;527;549;21.139999999999997
1513821824658;1513821825263;1513821847497;1513821848120;.pdf;1084673;605;623;24.0
1513821826673;1513821827543;1513821849530;1513821850425;.mp4;2232746;870;895;21.720000000000002
1513821828910;1513821829675;1513821851749;1513821852647;.pdf;2459010;765;898;22.68
1513821831104;1513821832402;1513821853943;1513821855474;.mp3;3363260;1298;1531;22.2
1513821833936;1513821835593;1513821856784;1513821858551;.pdf;3409257;1657;1767;49.12
1513821836961;1513821839005;1513821859804;1513821861966;.mp3;4846713;2044;2162;20.04
1513821840478;1513821842803;1513821863325;1513821865794;.mp3;4905254;2325;2469;22.9
1513821844291;1513821846673;1513821867132;1513821869616;.mp3;5178593;2382;2484;30.959999999999997
1513821848070;1513821851019;1513821870909;1513821874005;.mp3;5963776;2949;3096;23.02
1513821852504;1513821856083;1513821875347;1513821879083;.mp3;6897963;3579;3736;26.880000000000003
1513821857564;1513821861293;1513821880407;1513821884319;.pdf;6947882;3729;3912;26.360000000000003
1513821862783;1513821866694;1513821885635;1513821889700;.mp3;7522076;3911;4065;32.62
1513821868188;1513821872072;1513821891029;1513821895063;.mp3;7700653;3884;4034;30.579999999999995
1513821873512;1513821879507;1513821896352;1513821902592;.mp4;7953382;5995;6240;21.68
1513821880957;1513821885319;1513821903798;1513821908419;.mp3;8012705;4362;4621;31.240000000000002
1513821886806;1513821891285;1513821909647;1513821914231;.mp4;8297488;4479;4584;40.10000000000001
1513821892810;1513821897945;1513821915651;1513821920901;.mp3;9945088;5135;5250;25.419999999999998
1513821899318;1513822037261;1513821922159;1513822060181;.iso;238026752;137943;138022;20.919999999999998
1513822038704;1513822422732;1513822061547;1513822445918;.iso;647823360;384028;384371;20.76
