TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513821094131;1513821094141;1513821117006;1513821117021;.png;43574;10;15;61.96
1513821095500;1513821095511;1513821118400;1513821118421;.png;60606;11;21;21.1
1513821096915;1513821096925;1513821119760;1513821119871;.png;62303;10;111;27.860000000000003
1513821098295;1513821098303;1513821121124;1513821121195;.png;62372;8;71;20.880000000000003
1513821099738;1513821099748;1513821122572;1513821122656;.png;69598;10;84;36.5
1513821101116;1513821101127;1513821123952;1513821124133;.png;78311;11;181;24.06
1513821102484;1513821102492;1513821125313;1513821125414;.png;81702;8;101;22.58
1513821103998;1513821104007;1513821126847;1513821126938;.png;86564;9;91;44.58
1513821105372;1513821105381;1513821128202;1513821128328;.pdf;107050;9;126;21.380000000000003
1513821106739;1513821106752;1513821129568;1513821129745;.png;124105;13;177;21.880000000000003
1513821108220;1513821108446;1513821131049;1513821131344;.pdf;321740;226;295;28.52
1513821109851;1513821110168;1513821132680;1513821133040;.pdf;405687;317;360;25.04
1513821111583;1513821111920;1513821134413;1513821134827;.pdf;463639;337;414;23.0
1513821113392;1513821113752;1513821136219;1513821136653;.mp4;478886;360;434;33.980000000000004
1513821115171;1513821115656;1513821138083;1513821138553;.pdf;573824;485;470;22.44
1513821117081;1513821117489;1513821139916;1513821140375;.mp4;603517;408;459;21.76
1513821118910;1513821119734;1513821141747;1513821142576;.png;848806;824;829;25.32
1513821121145;1513821121729;1513821143979;1513821144578;.pdf;1009014;584;599;21.54
1513821123124;1513821124337;1513821146046;1513821147763;.pdf;1084673;1213;1717;22.24
1513821125815;1513821127044;1513821148680;1513821149976;.mp4;2232746;1229;1296;34.519999999999996
1513821128472;1513821129507;1513821151308;1513821152664;.pdf;2459010;1035;1356;22.119999999999997
1513821130923;1513821133225;1513821153759;1513821156205;.mp3;3363260;2302;2446;27.640000000000004
1513821134609;1513821138632;1513821157438;1513821161578;.pdf;3409257;4023;4140;22.22
1513821140145;1513821142439;1513821162977;1513821165473;.mp3;4846713;2294;2496;34.06
1513821143886;1513821146011;1513821166718;1513821169051;.mp3;4905254;2125;2333;22.42
1513821147444;1513821149940;1513821170278;1513821172915;.mp3;5178593;2496;2637;31.159999999999997
1513821151323;1513821155249;1513821174155;1513821178186;.mp3;5963776;3926;4031;21.619999999999997
1513821156624;1513821163030;1513821179464;1513821186030;.mp3;6897963;6406;6566;21.560000000000002
1513821164427;1513821167688;1513821187257;1513821190789;.pdf;6947882;3261;3532;21.72
1513821169087;1513821173209;1513821191916;1513821196209;.mp3;7522076;4122;4293;22.959999999999997
1513821174606;1513821178518;1513821197436;1513821201460;.mp3;7700653;3912;4024;24.02
1513821180000;1513821185859;1513821202838;1513821208816;.mp4;7953382;5859;5978;25.8
1513821187287;1513821191515;1513821210124;1513821214559;.mp3;8012705;4228;4435;22.28
1513821192913;1513821197389;1513821215753;1513821220420;.mp4;8297488;4476;4667;20.96
1513821198799;1513821204266;1513821221638;1513821227190;.mp3;9945088;5467;5552;22.919999999999998
1513821205695;1513821344891;1513821228526;1513821367911;.iso;238026752;139196;139385;22.659999999999997
1513821346350;1513821733784;1513821369188;1513821757535;.iso;647823360;387434;388347;37.36
