Tipo; Extensao; Tamanho(bytes); TempoClient(ms); TempoServer(ms)
SERVER_EXTERNAL;.pdf;463639;385;311
SERVER_EXTERNAL;.mp4;478886;389;281
SERVER_EXTERNAL;.pdf;573824;449;426
SERVER_EXTERNAL;.mp4;603517;473;359
SERVER_EXTERNAL;.png;848806;636;434
SERVER_EXTERNAL;.pdf;1009014;611;400
SERVER_EXTERNAL;.pdf;1084673;604;407
SERVER_EXTERNAL;.mp4;2232746;1529;623
SERVER_EXTERNAL;.pdf;2459010;903;731
SERVER_EXTERNAL;.mp3;3363260;2176;997
SERVER_EXTERNAL;.pdf;3409257;1603;1105
SERVER_EXTERNAL;.mp3;4846713;2633;1966
SERVER_EXTERNAL;.mp3;4905254;3549;1961
SERVER_EXTERNAL;.mp3;5178593;3166;2574
SERVER_EXTERNAL;.mp3;5963776;3434;3222
SERVER_EXTERNAL;.mp3;6897963;4272;3450
SERVER_EXTERNAL;.pdf;6947882;3913;3462
SERVER_EXTERNAL;.mp3;7522076;4757;3585
SERVER_EXTERNAL;.mp3;7700653;4611;3659
SERVER_EXTERNAL;.mp4;7953382;4442;3884
SERVER_EXTERNAL;.mp3;8012705;4866;3825
SERVER_EXTERNAL;.mp4;8297488;4626;3794
SERVER_EXTERNAL;.mp3;9945088;8381;4896
SERVER_EXTERNAL;.iso;238026752;134712;132747
SERVER_EXTERNAL;.iso;647823360;368797;369344
SERVER_EXTERNAL;.png;43574;216;23
SERVER_EXTERNAL;.png;60606;101;4
SERVER_EXTERNAL;.png;62303;238;6
SERVER_EXTERNAL;.png;62372;167;4
SERVER_EXTERNAL;.png;69598;146;3
SERVER_EXTERNAL;.png;78311;120;5
SERVER_EXTERNAL;.png;81702;120;2
SERVER_EXTERNAL;.png;86564;115;107
SERVER_EXTERNAL;.pdf;107050;194;37
SERVER_EXTERNAL;.png;124105;159;26
SERVER_EXTERNAL;.pdf;321740;421;140
SERVER_EXTERNAL;.pdf;405687;354;140
SERVER_EXTERNAL;.pdf;463639;350;240
SERVER_EXTERNAL;.mp4;478886;479;238
SERVER_EXTERNAL;.pdf;573824;621;312
SERVER_EXTERNAL;.mp4;603517;441;321
SERVER_EXTERNAL;.png;848806;589;381
SERVER_EXTERNAL;.pdf;1009014;542;407
SERVER_EXTERNAL;.pdf;1084673;635;378
SERVER_EXTERNAL;.mp4;2232746;959;796
SERVER_EXTERNAL;.pdf;2459010;932;811
SERVER_EXTERNAL;.mp3;3363260;1568;752
SERVER_EXTERNAL;.pdf;3409257;1518;1336
SERVER_EXTERNAL;.mp3;4846713;2596;1997
SERVER_EXTERNAL;.mp3;4905254;2727;2224
SERVER_EXTERNAL;.mp3;5178593;2967;2572
SERVER_EXTERNAL;.mp3;5963776;3039;3114
SERVER_EXTERNAL;.mp3;6897963;3458;3396
SERVER_EXTERNAL;.pdf;6947882;3403;3452
SERVER_EXTERNAL;.mp3;7522076;4503;3744
SERVER_EXTERNAL;.mp3;7700653;4050;3943
SERVER_EXTERNAL;.mp4;7953382;4440;4634
SERVER_EXTERNAL;.mp3;8012705;4365;4344
SERVER_EXTERNAL;.mp4;8297488;4554;4358
SERVER_EXTERNAL;.mp3;9945088;5552;4885
SERVER_EXTERNAL;.iso;238026752;133970;134249
SERVER_EXTERNAL;.iso;647823360;362372;364052
SERVER_EXTERNAL;.png;43574;121;31
SERVER_EXTERNAL;.png;60606;104;18
SERVER_EXTERNAL;.png;62303;100;4
SERVER_EXTERNAL;.png;62372;134;1
SERVER_EXTERNAL;.png;69598;175;1
SERVER_EXTERNAL;.png;78311;123;2
SERVER_EXTERNAL;.png;81702;116;1
SERVER_EXTERNAL;.png;86564;134;1
SERVER_EXTERNAL;.pdf;107050;149;37
SERVER_EXTERNAL;.png;124105;198;38
SERVER_EXTERNAL;.pdf;321740;239;126
SERVER_EXTERNAL;.pdf;405687;284;182
SERVER_EXTERNAL;.pdf;463639;419;240
SERVER_EXTERNAL;.mp4;478886;328;153
SERVER_EXTERNAL;.pdf;573824;348;226
SERVER_EXTERNAL;.mp4;603517;373;246
SERVER_EXTERNAL;.png;848806;594;406
SERVER_EXTERNAL;.pdf;1009014;623;346
SERVER_EXTERNAL;.pdf;1084673;546;565
SERVER_EXTERNAL;.mp4;2232746;985;649
SERVER_EXTERNAL;.pdf;2459010;952;662
SERVER_EXTERNAL;.mp3;3363260;1542;927
SERVER_EXTERNAL;.pdf;3409257;1539;1400
SERVER_EXTERNAL;.mp3;4846713;2907;1866
SERVER_EXTERNAL;.mp3;4905254;3453;1981
SERVER_EXTERNAL;.mp3;5178593;3030;2177
SERVER_EXTERNAL;.mp3;5963776;3553;2672
SERVER_EXTERNAL;.mp3;6897963;4215;4133
SERVER_EXTERNAL;.pdf;6947882;3699;3644
SERVER_EXTERNAL;.mp3;7522076;3848;3558
SERVER_EXTERNAL;.mp3;7700653;4031;3767
SERVER_EXTERNAL;.mp4;7953382;4096;4033
SERVER_EXTERNAL;.mp3;8012705;4066;4045
SERVER_EXTERNAL;.mp4;8297488;4553;4462
SERVER_EXTERNAL;.mp3;9945088;6193;4925
SERVER_EXTERNAL;.iso;238026752;132471;132205
SERVER_EXTERNAL;.iso;647823360;366127;364703
SERVER_EXTERNAL;.png;43574;120;16
SERVER_EXTERNAL;.png;60606;154;2
SERVER_EXTERNAL;.png;62303;124;3
SERVER_EXTERNAL;.png;62372;120;2
SERVER_EXTERNAL;.png;69598;178;11
SERVER_EXTERNAL;.png;78311;152;2
SERVER_EXTERNAL;.png;81702;170;6
SERVER_EXTERNAL;.png;86564;169;1
SERVER_EXTERNAL;.pdf;107050;189;31
SERVER_EXTERNAL;.png;124105;231;25
SERVER_EXTERNAL;.pdf;321740;410;214
SERVER_EXTERNAL;.pdf;405687;490;216
SERVER_EXTERNAL;.pdf;463639;446;261
SERVER_EXTERNAL;.mp4;478886;443;236
SERVER_EXTERNAL;.pdf;573824;663;285
SERVER_EXTERNAL;.mp4;603517;495;293
SERVER_EXTERNAL;.png;848806;568;485
SERVER_EXTERNAL;.pdf;1009014;577;429
SERVER_EXTERNAL;.pdf;1084673;582;480
SERVER_EXTERNAL;.mp4;2232746;846;1036
SERVER_EXTERNAL;.pdf;2459010;936;701
SERVER_EXTERNAL;.mp3;3363260;1399;1657
SERVER_EXTERNAL;.pdf;3409257;1519;1340
SERVER_EXTERNAL;.mp3;4846713;2727;2199
SERVER_EXTERNAL;.mp3;4905254;2796;2643
SERVER_EXTERNAL;.mp3;5178593;2852;2502
SERVER_EXTERNAL;.mp3;5963776;3527;2837
SERVER_EXTERNAL;.mp3;6897963;3875;4001
SERVER_EXTERNAL;.pdf;6947882;3905;3236
SERVER_EXTERNAL;.mp3;7522076;3987;3496
SERVER_EXTERNAL;.mp3;7700653;4230;4265
SERVER_EXTERNAL;.mp4;7953382;4196;4154
SERVER_EXTERNAL;.mp3;8012705;4317;4502
SERVER_EXTERNAL;.mp4;8297488;4205;4183
SERVER_EXTERNAL;.mp3;9945088;5185;7704
SERVER_EXTERNAL;.iso;238026752;133369;134009
SERVER_EXTERNAL;.iso;647823360;369841;368344
SERVER_EXTERNAL;.png;43574;174;12
SERVER_EXTERNAL;.png;60606;126;5
SERVER_EXTERNAL;.png;62303;162;5
SERVER_EXTERNAL;.png;62372;113;4
SERVER_EXTERNAL;.png;69598;92;1
SERVER_EXTERNAL;.png;78311;151;4
SERVER_EXTERNAL;.png;81702;133;2
SERVER_EXTERNAL;.png;86564;134;17
SERVER_EXTERNAL;.pdf;107050;140;35
SERVER_EXTERNAL;.png;124105;159;29
SERVER_EXTERNAL;.pdf;321740;250;130
SERVER_EXTERNAL;.pdf;405687;382;147
SERVER_EXTERNAL;.pdf;463639;342;301
SERVER_EXTERNAL;.mp4;478886;554;180
SERVER_EXTERNAL;.pdf;573824;456;230
SERVER_EXTERNAL;.mp4;603517;476;245
