TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513687884025;1513687884076;1513687863248;1513687863348;.png;43574;51;100
1513687885082;1513687885088;1513687864314;1513687864360;.png;60606;6;46
1513687886104;1513687886111;1513687865336;1513687865383;.png;62303;7;47
1513687887127;1513687887132;1513687866359;1513687866390;.png;62372;5;31
1513687888146;1513687888151;1513687867391;1513687867423;.png;69598;5;32
1513687889166;1513687889171;1513687868398;1513687868441;.png;78311;5;43
1513687890185;1513687890189;1513687869433;1513687869455;.png;81702;4;22
1513687891204;1513687891219;1513687870437;1513687870463;.png;86564;15;26
1513687892234;1513687892241;1513687871468;1513687871499;.pdf;107050;7;31
1513687893286;1513687893300;1513687872519;1513687872756;.png;124105;14;237
1513687894317;1513687894464;1513687873552;1513687873723;.pdf;321740;147;171
1513687895547;1513687895618;1513687874781;1513687874877;.pdf;405687;71;96
1513687896634;1513687896748;1513687875865;1513687875995;.pdf;463639;114;130
1513687897764;1513687897891;1513687877000;1513687877138;.mp4;478886;127;138
1513687898907;1513687899017;1513687878140;1513687878259;.pdf;573824;110;119
1513687900036;1513687900215;1513687879269;1513687879513;.mp4;603517;179;244
1513687901232;1513687901437;1513687880466;1513687880687;.png;848806;205;221
1513687902452;1513687902666;1513687881684;1513687881907;.pdf;1009014;214;223
1513687903682;1513687903912;1513687882917;1513687883164;.pdf;1084673;230;247
1513687904924;1513687905339;1513687884157;1513687884586;.mp4;2232746;415;429
1513687906365;1513687906833;1513687885605;1513687886083;.pdf;2459010;468;478
1513687907848;1513687908881;1513687887082;1513687888145;.mp3;3363260;1033;1063
1513687909922;1513687910766;1513687889155;1513687890035;.pdf;3409257;844;880
1513687911788;1513687912703;1513687891021;1513687891986;.mp3;4846713;915;965
1513687913719;1513687914565;1513687892952;1513687893852;.mp3;4905254;846;900
1513687915584;1513687916547;1513687894817;1513687895835;.mp3;5178593;963;1018
1513687917566;1513687918617;1513687896802;1513687897926;.mp3;5963776;1051;1124
1513687919635;1513687921664;1513687898873;1513687900914;.mp3;6897963;2029;2041
1513687922683;1513687925182;1513687901918;1513687904423;.pdf;6947882;2499;2505
1513687926199;1513687927478;1513687905468;1513687906806;.mp3;7522076;1279;1338
1513687928495;1513687929871;1513687907725;1513687909192;.mp3;7700653;1376;1467
1513687930884;1513687932241;1513687910116;1513687911590;.mp4;7953382;1357;1474
1513687933262;1513687934587;1513687912493;1513687913916;.mp3;8012705;1325;1423
1513687935604;1513687937027;1513687914846;1513687916360;.mp4;8297488;1423;1514
1513687938049;1513687940605;1513687917288;1513687920281;.mp3;9945088;2556;2993
1513687941626;1513687999109;1513687920857;1513687978641;.iso;238026752;57483;57784
1513688000137;1513688205713;1513687979368;1513688185419;.iso;647823360;205576;206051
