TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513684325247;1513684325370;1513684304444;1513684304655;.png;43574;123;211
1513684326375;1513684326389;1513684305629;1513684305670;.png;60606;14;41
1513684327405;1513684327408;1513684306659;1513684306701;.png;62303;3;42
1513684328424;1513684328427;1513684307678;1513684307705;.png;62372;3;27
1513684329491;1513684329494;1513684308745;1513684308777;.png;69598;3;32
1513684330560;1513684330564;1513684309816;1513684309838;.png;78311;4;22
1513684331579;1513684331585;1513684310833;1513684310861;.png;81702;6;28
1513684332603;1513684332608;1513684311858;1513684311877;.png;86564;5;19
1513684333622;1513684333630;1513684312877;1513684312911;.pdf;107050;8;34
1513684334655;1513684334663;1513684313910;1513684313938;.png;124105;8;28
1513684335680;1513684335744;1513684314934;1513684315024;.pdf;321740;64;90
1513684336759;1513684336836;1513684316014;1513684316108;.pdf;405687;77;94
1513684337929;1513684338029;1513684317183;1513684317298;.pdf;463639;100;115
1513684339034;1513684339223;1513684318288;1513684318496;.mp4;478886;189;208
1513684340239;1513684340355;1513684319496;1513684319626;.pdf;573824;116;130
1513684341372;1513684341559;1513684320626;1513684320843;.mp4;603517;187;217
1513684342579;1513684342823;1513684321834;1513684322085;.png;848806;244;251
1513684343827;1513684344174;1513684323080;1513684323440;.pdf;1009014;347;360
1513684345237;1513684345619;1513684324492;1513684324884;.pdf;1084673;382;392
1513684346642;1513684347066;1513684325902;1513684326346;.mp4;2232746;424;444
1513684348084;1513684348522;1513684327338;1513684327795;.pdf;2459010;438;457
1513684349539;1513684350094;1513684328794;1513684329379;.mp3;3363260;555;585
1513684351117;1513684351781;1513684330369;1513684331059;.pdf;3409257;664;690
1513684352804;1513684353780;1513684332055;1513684333090;.mp3;4846713;976;1035
1513684354796;1513684355829;1513684334052;1513684335140;.mp3;4905254;1033;1088
1513684357237;1513684358437;1513684336489;1513684337774;.mp3;5178593;1200;1285
1513684359452;1513684361115;1513684338715;1513684340430;.mp3;5963776;1663;1715
1513684362132;1513684363416;1513684341387;1513684342714;.mp3;6897963;1284;1327
1513684364437;1513684365543;1513684343688;1513684344864;.pdf;6947882;1106;1176
1513684366561;1513684367796;1513684345820;1513684347103;.mp3;7522076;1235;1283
1513684368817;1513684370227;1513684348068;1513684349587;.mp3;7700653;1410;1519
1513684371247;1513684372762;1513684350500;1513684352109;.mp4;7953382;1515;1609
1513684373777;1513684375980;1513684353030;1513684355367;.mp3;8012705;2203;2337
1513684377002;1513684378638;1513684356253;1513684357931;.mp4;8297488;1636;1678
1513684379654;1513684381330;1513684358912;1513684360686;.mp3;9945088;1676;1774
1513684382348;1513684425201;1513684361602;1513684404627;.iso;238026752;42853;43025
1513684426238;1513684608500;1513684405477;1513684587864;.iso;647823360;182262;182387
