Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
GO;.png;43574;169.0;54.0;89.0;73.0;96.0;104.0;138.0;116.0;91.0;82.0;101.2
GO;.png;60606;38.0;38.0;50.0;34.0;40.0;49.0;113.0;37.0;50.0;51.0;50.0
GO;.png;62303;21.0;42.0;38.0;40.0;34.0;43.0;82.0;36.0;121.0;36.0;49.3
GO;.png;62372;27.0;30.0;36.0;25.0;36.0;42.0;47.0;29.0;28.0;34.0;33.4
GO;.png;69598;34.0;67.0;31.0;2.0;14.0;21.0;49.0;48.0;29.0;31.0;32.6
GO;.png;78311;22.0;22.0;31.0;36.0;29.0;32.0;41.0;28.0;20.0;34.0;29.5
GO;.png;81702;44.0;18.0;124.0;19.0;114.0;26.0;39.0;49.0;33.0;30.0;49.6
GO;.png;86564;21.0;25.0;38.0;55.0;18.0;30.0;30.0;30.0;32.0;115.0;39.4
GO;.pdf;107050;31.0;121.0;37.0;29.0;42.0;61.0;39.0;30.0;64.0;63.0;51.7
GO;.png;124105;181.0;43.0;33.0;33.0;121.0;29.0;225.0;26.0;44.0;43.0;77.8
GO;.pdf;321740;102.0;86.0;79.0;117.0;80.0;116.0;67.0;152.0;164.0;107.0;107.0
GO;.pdf;405687;85.0;164.0;90.0;96.0;91.0;184.0;103.0;121.0;104.0;114.0;115.2
GO;.pdf;463639;104.0;1015.0;115.0;129.0;179.0;144.0;126.0;144.0;111.0;138.0;220.5
GO;.mp4;478886;246.0;293.0;155.0;139.0;270.0;103.0;137.0;206.0;131.0;174.0;185.4
GO;.pdf;573824;214.0;381.0;139.0;159.0;121.0;144.0;106.0;238.0;139.0;159.0;180.0
GO;.mp4;603517;219.0;419.0;207.0;168.0;317.0;113.0;151.0;293.0;258.0;178.0;232.3
GO;.png;848806;167.0;432.0;268.0;215.0;197.0;208.0;181.0;205.0;199.0;216.0;228.8
GO;.pdf;1009014;212.0;544.0;203.0;782.0;337.0;211.0;217.0;225.0;340.0;227.0;329.8
GO;.pdf;1084673;259.0;788.0;329.0;514.0;483.0;215.0;264.0;284.0;484.0;258.0;387.8
GO;.mp4;2232746;695.0;583.0;560.0;496.0;602.0;633.0;632.0;447.0;456.0;445.0;554.9
GO;.pdf;2459010;738.0;877.0;576.0;439.0;446.0;792.0;629.0;688.0;448.0;524.0;615.7
GO;.mp3;3363260;595.0;798.0;621.0;690.0;988.0;710.0;1812.0;1085.0;1275.0;1393.0;996.7
GO;.pdf;3409257;656.0;654.0;633.0;580.0;591.0;671.0;593.0;850.0;621.0;609.0;645.8
GO;.mp3;4846713;828.0;830.0;819.0;814.0;792.0;920.0;857.0;1537.0;858.0;878.0;913.3
GO;.mp3;4905254;918.0;860.0;962.0;938.0;891.0;895.0;848.0;2076.0;866.0;857.0;1011.1
GO;.mp3;5178593;908.0;892.0;1357.0;995.0;840.0;1262.0;1032.0;1138.0;953.0;936.0;1031.3
GO;.mp3;5963776;1318.0;955.0;2723.0;1554.0;1339.0;1041.0;1063.0;1672.0;985.0;1125.0;1377.5
GO;.mp3;6897963;1083.0;1507.0;1177.0;1251.0;1299.0;1550.0;1358.0;2981.0;1098.0;1110.0;1441.4
GO;.pdf;6947882;1053.0;1999.0;1249.0;1153.0;1264.0;1286.0;2034.0;1343.0;1318.0;1126.0;1382.5
GO;.mp3;7522076;1252.0;1216.0;1362.0;1217.0;1382.0;1209.0;1629.0;1355.0;1319.0;1397.0;1333.8
GO;.mp3;7700653;1200.0;1416.0;1228.0;1492.0;1224.0;1502.0;2465.0;1234.0;1271.0;1603.0;1463.5
GO;.mp4;7953382;1147.0;1386.0;1960.0;1689.0;1556.0;1311.0;2015.0;1650.0;1325.0;1323.0;1536.2
GO;.mp3;8012705;1329.0;1545.0;1853.0;2165.0;1286.0;1421.0;1680.0;1346.0;1289.0;1502.0;1541.6
GO;.mp4;8297488;1495.0;1268.0;1296.0;1474.0;1415.0;1268.0;3155.0;2636.0;2782.0;1314.0;1810.3
GO;.mp3;9945088;1740.0;1537.0;1929.0;1893.0;1605.0;2347.0;2694.0;2729.0;1548.0;1608.0;1963.0
GO;.iso;238026752;47126.0;39340.0;39192.0;43616.0;40959.0;40666.0;108920.0;52032.0;44158.0;40951.0;49696.0
GO;.iso;647823360;103992.0;104874.0;113138.0;115737.0;136650.0;118008.0;112194.0;130491.0;120228.0;132687.0;118799.9
