TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513763795857;1513763795894;1513763775654;1513763775723;.png;43574;37;69
1513763796900;1513763796970;1513763776694;1513763776880;.png;60606;70;186
1513763797984;1513763798016;1513763777778;1513763777822;.png;62303;32;44
1513763799035;1513763799056;1513763778834;1513763778859;.png;62372;21;25
1513763800072;1513763800116;1513763779867;1513763779919;.png;69598;44;52
1513763801140;1513763801158;1513763780933;1513763780956;.png;78311;18;23
1513763802177;1513763802214;1513763781988;1513763782016;.png;81702;37;28
1513763803233;1513763803255;1513763783027;1513763783057;.png;86564;22;30
1513763804270;1513763804317;1513763784067;1513763784118;.pdf;107050;47;51
1513763805325;1513763805353;1513763785124;1513763785156;.png;124105;28;32
1513763806400;1513763806495;1513763786193;1513763786292;.pdf;321740;95;99
1513763807519;1513763807594;1513763787310;1513763787397;.pdf;405687;75;87
1513763808609;1513763808683;1513763788403;1513763788481;.pdf;463639;74;78
1513763809705;1513763809804;1513763789497;1513763789616;.mp4;478886;99;119
1513763810825;1513763810923;1513763790618;1513763790724;.pdf;573824;98;106
1513763811945;1513763812093;1513763791740;1513763791891;.mp4;603517;148;151
1513763813111;1513763813301;1513763792906;1513763793104;.png;848806;190;198
1513763814316;1513763814471;1513763794109;1513763794274;.pdf;1009014;155;165
1513763815491;1513763815689;1513763795284;1513763795490;.pdf;1084673;198;206
1513763816712;1513763817084;1513763796503;1513763796897;.mp4;2232746;372;394
1513763818100;1513763818668;1513763797904;1513763798484;.pdf;2459010;568;580
1513763819688;1513763820413;1513763799486;1513763800316;.mp3;3363260;725;830
1513763821454;1513763822134;1513763801253;1513763801942;.pdf;3409257;680;689
1513763823150;1513763823952;1513763802949;1513763803764;.mp3;4846713;802;815
1513763824975;1513763825676;1513763804766;1513763805492;.mp3;4905254;701;726
1513763826692;1513763827463;1513763806489;1513763807289;.mp3;5178593;771;800
1513763828481;1513763829533;1513763808278;1513763809336;.mp3;5963776;1052;1058
1513763830549;1513763831557;1513763810351;1513763811380;.mp3;6897963;1008;1029
1513763832574;1513763833558;1513763812373;1513763813370;.pdf;6947882;984;997
1513763834572;1513763835613;1513763814368;1513763815432;.mp3;7522076;1041;1064
1513763836629;1513763837738;1513763816426;1513763817555;.mp3;7700653;1109;1129
1513763838755;1513763839890;1513763818549;1513763819717;.mp4;7953382;1135;1168
1513763840907;1513763842102;1513763820703;1513763821919;.mp3;8012705;1195;1216
1513763843121;1513763844530;1513763822916;1513763824356;.mp4;8297488;1409;1440
1513763845550;1513763847011;1513763825349;1513763826827;.mp3;9945088;1461;1478
1513763848038;1513763884800;1513763827827;1513763864618;.iso;238026752;36762;36791
1513763885818;1513763981269;1513763865617;1513763961090;.iso;647823360;95451;95473
