TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513877471234;1513877471502;1513878436976;1513878436992;.png;43574;268;16
1513877472547;1513877472680;1513878438113;1513878438115;.png;60606;133;2
1513877473799;1513877473902;1513878439251;1513878439254;.png;62303;103;3
1513877474938;1513877475034;1513878440463;1513878440467;.png;62372;96;4
1513877476072;1513877476233;1513878441658;1513878441660;.png;69598;161;2
1513877477357;1513877477456;1513878442800;1513878442801;.png;78311;99;1
1513877478500;1513877478616;1513878443955;1513878443958;.png;81702;116;3
1513877479657;1513877479783;1513878445187;1513878445189;.png;86564;126;2
1513877480856;1513877481099;1513878446347;1513878446373;.pdf;107050;243;26
1513877482141;1513877482289;1513878447552;1513878447576;.png;124105;148;24
1513877483328;1513877483572;1513878448743;1513878448993;.pdf;321740;244;250
1513877484636;1513877484993;1513878450145;1513878450363;.pdf;405687;357;218
1513877486022;1513877486376;1513878451536;1513878451826;.pdf;463639;354;290
1513877487417;1513877487755;1513878453150;1513878453350;.mp4;478886;338;200
1513877490276;1513877490614;1513878454551;1513878454842;.pdf;573824;338;291
1513877491655;1513877492036;1513878456015;1513878456545;.mp4;603517;381;530
1513877493073;1513877493665;1513878457746;1513878458137;.png;848806;592;391
1513877494707;1513877495224;1513878459332;1513878459919;.pdf;1009014;517;587
1513877496275;1513877497020;1513878461174;1513878461619;.pdf;1084673;745;445
1513877498062;1513877499051;1513878462803;1513878463574;.mp4;2232746;989;771
1513877500102;1513877501067;1513878464763;1513878465321;.pdf;2459010;965;558
1513877502105;1513877503746;1513878466677;1513878467681;.mp3;3363260;1641;1004
1513877504867;1513877506525;1513878469353;1513878470833;.pdf;3409257;1658;1480
1513877507570;1513877510000;1513878472140;1513878474357;.mp3;4846713;2430;2217
1513877511039;1513877513495;1513878475763;1513878478014;.mp3;4905254;2456;2251
1513877514538;1513877517013;1513878479593;1513878481571;.mp3;5178593;2475;1978
1513877518113;1513877521129;1513878483508;1513878486313;.mp3;5963776;3016;2805
1513877522173;1513877526998;1513878487891;1513878491390;.mp3;6897963;4825;3499
1513877528036;1513877532324;1513878492836;1513878496129;.pdf;6947882;4288;3293
1513877533362;1513877537439;1513878497517;1513878501219;.mp3;7522076;4077;3702
1513877538484;1513877542562;1513878502951;1513878506747;.mp3;7700653;4078;3796
1513877543679;1513877548165;1513878508020;1513878511668;.mp4;7953382;4486;3648
1513877549207;1513877553669;1513878513288;1513878517926;.mp3;8012705;4462;4638
1513877554716;1513877559423;1513878519384;1513878523501;.mp4;8297488;4707;4117
1513877560470;1513877565739;1513878524797;1513878529962;.mp3;9945088;5269;5165
1513877566779;1513877699737;1513878531254;1513878667283;.iso;238026752;132958;136029
1513877700787;1513878066109;1513878668761;1513879052443;.iso;647823360;365322;383682
