TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513881709639;1513881709760;1513877494598;1513877494629;.png;43574;121;31
1513881710806;1513881710910;1513877495892;1513877495910;.png;60606;104;18
1513881711950;1513881712050;1513877497142;1513877497146;.png;62303;100;4
1513881713087;1513881713221;1513877498281;1513877498282;.png;62372;134;1
1513881714262;1513881714437;1513877499417;1513877499418;.png;69598;175;1
1513881715476;1513881715599;1513877500701;1513877500703;.png;78311;123;2
1513881716644;1513881716760;1513877501859;1513877501860;.png;81702;116;1
1513881717801;1513881717935;1513877503007;1513877503008;.png;86564;134;1
1513881718974;1513881719123;1513877504213;1513877504250;.pdf;107050;149;37
1513881720165;1513881720363;1513877505500;1513877505538;.png;124105;198;38
1513881721403;1513881721642;1513877506672;1513877506798;.pdf;321740;239;126
1513881722682;1513881722966;1513877507996;1513877508178;.pdf;405687;284;182
1513881724008;1513881724427;1513877509365;1513877509605;.pdf;463639;419;240
1513881725471;1513881725799;1513877510778;1513877510931;.mp4;478886;328;153
1513881726839;1513881727187;1513877513620;1513877513846;.pdf;573824;348;226
1513881728228;1513881728601;1513877515014;1513877515260;.mp4;603517;373;246
1513881729643;1513881730237;1513877516420;1513877516826;.png;848806;594;406
1513881731265;1513881731888;1513877518068;1513877518414;.pdf;1009014;623;346
1513881732927;1513881733473;1513877519635;1513877520200;.pdf;1084673;546;565
1513881734517;1513881735502;1513877521406;1513877522055;.mp4;2232746;985;649
1513881736543;1513881737495;1513877523443;1513877524105;.pdf;2459010;952;662
1513881738539;1513881740081;1513877525458;1513877526385;.mp3;3363260;1542;927
1513881741122;1513881742661;1513877528224;1513877529624;.pdf;3409257;1539;1400
1513881743701;1513881746608;1513877530917;1513877532783;.mp3;4846713;2907;1866
1513881747651;1513881751104;1513877534383;1513877536364;.mp3;4905254;3453;1981
1513881752219;1513881755249;1513877537883;1513877540060;.mp3;5178593;3030;2177
1513881756289;1513881759842;1513877541463;1513877544135;.mp3;5963776;3553;2672
1513881760900;1513881765115;1513877545518;1513877549651;.mp3;6897963;4215;4133
1513881766160;1513881769859;1513877551398;1513877555042;.pdf;6947882;3699;3644
1513881770909;1513881774757;1513877556705;1513877560263;.mp3;7522076;3848;3558
1513881775802;1513881779833;1513877561845;1513877565612;.mp3;7700653;4031;3767
1513881780878;1513881784974;1513877567030;1513877571063;.mp4;7953382;4096;4033
1513881786020;1513881790086;1513877572551;1513877576596;.mp3;8012705;4066;4045
1513881791133;1513881795686;1513877578076;1513877582538;.mp4;8297488;4553;4462
1513881796734;1513881802927;1513877583834;1513877588759;.mp3;9945088;6193;4925
1513881803970;1513881936441;1513877590123;1513877722328;.iso;238026752;132471;132205
1513881937507;1513882303634;1513877724218;1513878088921;.iso;647823360;366127;364703
