TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513883181838;1513883182012;1513881733047;1513881733059;.png;43574;174;12
1513883183059;1513883183185;1513881734198;1513881734203;.png;60606;126;5
1513883184225;1513883184387;1513881735343;1513881735348;.png;62303;162;5
1513883185427;1513883185540;1513881736512;1513881736516;.png;62372;113;4
1513883186582;1513883186674;1513881737712;1513881737713;.png;69598;92;1
1513883187716;1513883187867;1513881738884;1513881738888;.png;78311;151;4
1513883188911;1513883189044;1513881740052;1513881740054;.png;81702;133;2
1513883190088;1513883190222;1513881741197;1513881741214;.png;86564;134;17
1513883191326;1513883191466;1513881742365;1513881742400;.pdf;107050;140;35
1513883192505;1513883192664;1513881743553;1513881743582;.png;124105;159;29
1513883193722;1513883193972;1513881744796;1513881744926;.pdf;321740;250;130
1513883195012;1513883195394;1513881746088;1513881746235;.pdf;405687;382;147
1513883196437;1513883196779;1513881747396;1513881747697;.pdf;463639;342;301
1513883197819;1513883198373;1513881748860;1513881749040;.mp4;478886;554;180
1513883199415;1513883199871;1513881750246;1513881750476;.pdf;573824;456;230
1513883200911;1513883201387;1513881751618;1513881751863;.mp4;603517;476;245
1513883202424;1513883202931;1513881753033;1513881753458;.png;848806;507;425
1513883203972;1513883204530;1513881754671;1513881755077;.pdf;1009014;558;406
1513883205570;1513883206113;1513881756349;1513881756733;.pdf;1084673;543;384
1513883207211;1513883208153;1513881757929;1513881758621;.mp4;2232746;942;692
1513883209196;1513883210043;1513881759953;1513881760494;.pdf;2459010;847;541
1513883211085;1513883212710;1513881761946;1513881763053;.mp3;3363260;1625;1107
1513883213753;1513883215378;1513881764527;1513881765674;.pdf;3409257;1625;1147
1513883216423;1513883219282;1513881767093;1513881769297;.mp3;4846713;2859;2204
1513883220383;1513883223140;1513881771057;1513881773307;.mp3;4905254;2757;2250
1513883224181;1513883227345;1513881775609;1513881778027;.mp3;5178593;3164;2418
1513883228418;1513883231783;1513881779688;1513881782750;.mp3;5963776;3365;3062
1513883232826;1513883236895;1513881784298;1513881788173;.mp3;6897963;4069;3875
1513883237938;1513883241744;1513881789551;1513881792860;.pdf;6947882;3806;3309
1513883242782;1513883247025;1513881794302;1513881797801;.mp3;7522076;4243;3499
1513883248080;1513883252624;1513881799227;1513881802916;.mp3;7700653;4544;3689
1513883253684;1513883258010;1513881804287;1513881807865;.mp4;7953382;4326;3578
1513883259057;1513883263404;1513881809427;1513881813154;.mp3;8012705;4347;3727
1513883265901;1513883271176;1513881814541;1513881818446;.mp4;8297488;5275;3905
1513883272224;1513883277649;1513881820157;1513881825381;.mp3;9945088;5425;5224
1513883278697;1513883412027;1513881827362;1513881959016;.iso;238026752;133330;131654
1513883413079;1513883784526;1513881960899;1513882326116;.iso;647823360;371447;365217
