TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513429600369;1513429600421;1513429579298;1513429579410;.png;43574;52;112
1513429601437;1513429601459;1513429580394;1513429580427;.png;60606;22;33
1513429602474;1513429602495;1513429581429;1513429581468;.png;62303;21;39
1513429603500;1513429603523;1513429582455;1513429582487;.png;62372;23;32
1513429604538;1513429604566;1513429583518;1513429583524;.png;69598;28;6
1513429605582;1513429605600;1513429584537;1513429584564;.png;78311;18;27
1513429606617;1513429606647;1513429585570;1513429585604;.png;81702;30;34
1513429607662;1513429607686;1513429586619;1513429586644;.png;86564;24;25
1513429608701;1513429608731;1513429587655;1513429587694;.pdf;107050;30;39
1513429609823;1513429609858;1513429588780;1513429588822;.png;124105;35;42
1513429610872;1513429610965;1513429589834;1513429589931;.pdf;321740;93;97
1513429611980;1513429612147;1513429590935;1513429591109;.pdf;405687;167;174
1513429613198;1513429613294;1513429592156;1513429592259;.pdf;463639;96;103
1513429614298;1513429614524;1513429593254;1513429593491;.mp4;478886;226;237
1513429615530;1513429615719;1513429594487;1513429594681;.pdf;573824;189;194
1513429616733;1513429616908;1513429595686;1513429595866;.mp4;603517;175;180
1513429617923;1513429618091;1513429596877;1513429597060;.png;848806;168;183
1513429619105;1513429619328;1513429598059;1513429598286;.pdf;1009014;223;227
1513429620343;1513429620601;1513429599298;1513429599565;.pdf;1084673;258;267
1513429621615;1513429622144;1513429600569;1513429601116;.mp4;2232746;529;547
1513429623159;1513429623653;1513429602113;1513429602630;.pdf;2459010;494;517
1513429624670;1513429625822;1513429603625;1513429604791;.mp3;3363260;1152;1166
1513429626838;1513429627353;1513429605807;1513429606333;.pdf;3409257;515;526
1513429628370;1513429629266;1513429607326;1513429608243;.mp3;4846713;896;917
1513429630283;1513429631083;1513429609237;1513429610059;.mp3;4905254;800;822
1513429632102;1513429633076;1513429611059;1513429612049;.mp3;5178593;974;990
1513429634092;1513429635143;1513429613049;1513429614122;.mp3;5963776;1051;1073
1513429636163;1513429637227;1513429615114;1513429616210;.mp3;6897963;1064;1096
1513429638245;1513429639392;1513429617204;1513429618370;.pdf;6947882;1147;1166
1513429640417;1513429642271;1513429619369;1513429621237;.mp3;7522076;1854;1868
1513429643288;1513429644539;1513429622244;1513429623534;.mp3;7700653;1251;1290
1513429645554;1513429647036;1513429624511;1513429626006;.mp4;7953382;1482;1495
1513429648056;1513429649359;1513429627010;1513429628330;.mp3;8012705;1303;1320
1513429650377;1513429651929;1513429629331;1513429630911;.mp4;8297488;1552;1580
1513429652952;1513429654635;1513429631908;1513429633615;.mp3;9945088;1683;1707
1513429655653;1513429696789;1513429634610;1513429675776;.iso;238026752;41136;41166
1513429697824;1513429823582;1513429676772;1513429802554;.iso;647823360;125758;125782
