REQUEST_SEARCH,0,1513802339300,192.168.1.3,XT1069,-,SERVER_LOCAL
END_SEARCH,0,1513802339493,192.168.1.3,XT1069,-,SERVER_LOCAL
88.41
REQUEST_CONNECT,CLIENT,1513802346695,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802346707,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802346724,1513802346777,.png,43574,SERVER_LOCAL
DISCONNECT,CLIENT,1513802346780,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.718
REQUEST_CONNECT,CLIENT,1513802347981,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802347986,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802347986,1513802347992,.png,60606,SERVER_LOCAL
DISCONNECT,CLIENT,1513802347994,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
5.148
REQUEST_CONNECT,CLIENT,1513802350346,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802350351,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802350354,1513802350358,.png,62303,SERVER_LOCAL
DISCONNECT,CLIENT,1513802350360,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.368
REQUEST_CONNECT,CLIENT,1513802351586,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802351592,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802351592,1513802351600,.png,62372,SERVER_LOCAL
DISCONNECT,CLIENT,1513802351602,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.732
REQUEST_CONNECT,CLIENT,1513802352843,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802352846,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802352850,1513802352858,.png,69598,SERVER_LOCAL
DISCONNECT,CLIENT,1513802352860,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.1399999999999997
REQUEST_CONNECT,CLIENT,1513802354109,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802354113,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
