 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
124105,96,+ACI-1262,46134440104+ACI-
573824,438,+ACI-1279,39497716895+ACI-
573824,437,+ACI-1282,32265446224+ACI-
463639,353,+ACI-1282,64153240085+ACI-
603517,459,+ACI-1284,03501157407+ACI-
848806,642,+ACI-1291,14035728193+ACI-
7953382,5978,+ACI-1299,25972053781+ACI-
6897963,5178,+ACI-1300,94476481026+ACI-
81702,60,+ACI-1329,78515625+ACI-
107050,78,+ACI-1340,26943108974+ACI-
3363260,2446,+ACI-1342,77742998773+ACI-
7953382,5761,+ACI-1348,19902957386+ACI-
463639,334,+ACI-1355,60617047156+ACI-
107050,77,+ACI-1357,6755275974+ACI-
321740,230,+ACI-1366,08355978261+ACI-
405687,289,+ACI-1370,86059147924+ACI-
603517,425,+ACI-1386,7578125+ACI-
124105,87,+ACI-1393,06079382184+ACI-
603517,418,+ACI-1409,98102945574+ACI-
8297488,5730,+ACI-1414,13885253054+ACI-
1084673,746,+ACI-1419,90747528485+ACI-
321740,221,+ACI-1421,7159219457+ACI-
8297488,5684,+ACI-1425,58332600281+ACI-
573824,388,+ACI-1444,26546391753+ACI-
5963776,4031,+ACI-1444,80277846688+ACI-
405687,273,+ACI-1451,20406936813+ACI-
463639,310,+ACI-1460,55632560484+ACI-
6947882,4631,+ACI-1465,13517936191+ACI-
5963776,3969,+ACI-1467,3721340388+ACI-
478886,318,+ACI-1470,63556407233+ACI-
603517,399,+ACI-1477,12298323935+ACI-
7522076,4966,+ACI-1479,21412479863+ACI-
4905254,3234,+ACI-1481,22668811843+ACI-
603517,397,+ACI-1484,56440884761+ACI-
7522076,4938,+ACI-1487,60173020454+ACI-
603517,396,+ACI-1488,31330886995+ACI-
7953382,5212,+ACI-1490,21001714793+ACI-
9945088,6497,+ACI-1494,84377404956+ACI-
573824,373,+ACI-1502,34584450402+ACI-
5963776,3860,+ACI-1508,80829015544+ACI-
321740,208,+ACI-1510,57316706731+ACI-
463639,297,+ACI-1524,48640046296+ACI-
405687,259,+ACI-1529,64753257722+ACI-
238026752,151322,+ACI-1536,11503945229+ACI-
478886,304,+ACI-1538,36220189145+ACI-
9945088,6255,+ACI-1552,67785771383+ACI-
405687,254,+ACI-1559,75870447835+ACI-
6897963,4315,+ACI-1561,13371777231+ACI-
848806,530,+ACI-1563,9851120283+ACI-
573824,358,+ACI-1565,29329608939+ACI-
7700653,4789,+ACI-1570,30046884788+ACI-
647823360,402492,+ACI-1571,80763841269+ACI-
573824,356,+ACI-1574,08707865169+ACI-
848806,525,+ACI-1578,88020833333+ACI-
7700653,4742,+ACI-1585,86439167282+ACI-
5178593,3174,+ACI-1593,32694598693+ACI-
6947882,4242,+ACI-1599,49104564474+ACI-
647823360,395412,+ACI-1599,9514430518+ACI-
7522076,4588,+ACI-1601,08486132302+ACI-
7953382,4839,+ACI-1605,07844789729+ACI-
